ID,Species,Group,Group_As_On_Fig2,Source,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6
B52,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.01879,0.0135137,0.00110521,-0.000410406,-0.002539,-0.00354288,0.00174409
B54,Z. mays,Broad origin-public,Other,This Study,0.02179,0.012571,-0.00943626,0.00134349,-0.00378288,-0.00264563,-0.0169331
B57,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02943,0.00928242,-0.0156415,-0.00165068,-0.00467377,0.00258734,-0.00566324
B64,Z. mays,SS,SS,Bukowski et al. 2018,0.01751,0.0168446,0.0474239,0.0144529,0.00893597,-0.00230541,-0.0100662
B65,Z. mays,NSS,NSS,Qiu et al. 2021,0.03044,0.0106018,-0.0141563,-0.00228659,-0.00311922,-0.00350589,-0.0100316
B66,Z. mays,NSS,NSS,Qiu et al. 2021,0.03087,0.0104953,-0.0230549,-0.0109843,-0.00723806,-0.0182151,-0.0210972
B68,Z. mays,SS,SS,Qiu et al. 2021,0.02435,0.0163527,0.0486777,0.00213716,0.0124785,-0.00595005,-0.0212215
B69,Z. mays,SS,SS,Wang et al. 2020,0.02019,0.018056,0.043769,0.00294656,0.00909852,-0.00217286,-0.00749139
B7,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.00573,0.0152831,0.0213278,0.0010796,0.00347356,0.00296171,-0.00651025
B70,Z. mays,NSS,NSS,Qiu et al. 2021,0.03243,0.0123939,-0.0338494,-0.0160474,-0.0227257,-0.0709381,0.0137144
B73,Z. mays,SS,SS,Qiu et al. 2021,8.9921e-05,0.0181451,0.090406,0.0153282,0.00768408,-0.0111328,0.0150209
B75,Z. mays,Mixed,Other,Qiu et al. 2021,0.02796,0.0116272,-0.00845334,-0.00286447,-0.00603417,-0.0099215,0.00136347
B76,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.09736,0.0103048,-0.0155304,-0.00448533,-0.00746293,-0.0184295,-0.0241432
B77,Z. mays,Mixed,Other,Qiu et al. 2021,0.03022,0.00670824,-0.0213188,0.00411849,-0.00845808,-0.00782455,-0.00632085
B79,Z. mays,Mixed,Other,Qiu et al. 2021,0.02788,0.0146316,-0.00414756,-0.0114319,-0.00131975,-0.00977143,-0.0123295
B8,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.00594,0.0141361,0.014188,0.00342341,0.00206309,0.00632177,0.00122591
B84,Z. mays,SS,SS,Qiu et al. 2021,0.01618,0.0177719,0.0499144,0.00694291,0.00614858,-0.00452337,-0.00518307
B85,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.035,0.010467,-0.0114617,-0.00499167,-0.00463509,-0.0149954,-0.0182529
B87,Z. mays,Mixed,Other,Qiu et al. 2021,0.03031,0.010798,-0.0166308,-0.00552526,-0.00762976,-0.0133472,-0.0014898
B88,Z. mays,Mixed,Other,Qiu et al. 2021,0.02662,0.0124644,0.00549749,-0.001299,0.000246921,0.00343999,-0.00498488
B90,Z. mays,Broad origin-public,Other,This Study,0.02049,0.0127234,-0.00638493,0.00217408,-0.00350656,0.00307521,-4.13601e-05
B91,Z. mays,Mixed,Other,This Study,0.02175,0.0129816,-0.00461023,-0.000196155,-0.00261277,0.00252588,-0.00431918
B95,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02596,0.00833244,-0.013923,0.0193311,-0.012165,-0.00499312,-0.000789352
B96,Z. mays,Mixed,Other,Wang et al. 2020,0.02589,0.00107996,-0.00973049,0.0388748,-0.00985987,0.0270943,0.0168027
B97,Z. mays,NSS,NSS,Qiu et al. 2021,0.02925,0.0106947,-0.0110358,-0.00681183,-0.00306257,-0.000608807,-0.00678582
B98,Z. mays,Mixed,Other,Wang et al. 2020,0.02373,0.010278,-0.00936729,-0.000747173,0.000442512,0.00717247,-0.0140062
B99,Z. mays,Broad origin-public,Other,This Study,0.02013,0.0134211,-0.00591295,0.000156646,-0.00297234,0.00287713,-0.00499516
BCC03,Z. mays,NSS,NSS,Wang et al. 2020,0.03056,0.0125661,-0.0303661,-0.0107282,-0.0174266,-0.047031,0.0231313
BO9,Z. mays,SS,SS,Qiu et al. 2021,0.02661,0.0171138,0.0261176,-0.00911361,0.00782723,-0.0198942,-0.0228235
BOV587,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.03153,0.00110591,-0.0131993,0.0238709,-0.0088422,0.0163872,-0.0100917
BOV635,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.03583,0.00166641,-0.0102419,0.0318651,-0.00960073,0.0270709,0.0279459
BRVI104,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.02825,0.00252185,-0.0125096,0.0307208,-0.00848425,0.0285868,0.037163
BZN,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02722,0.00154133,-0.0130699,0.00742768,-0.0039235,-0.00716058,-0.0676059
Baihe43,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02512,0.00461241,-0.015094,0.0211575,-0.0070449,0.0172841,0.00961918
Baihunhuang,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02512,0.00670873,-0.0165984,0.0115791,-0.00640295,0.00759957,-0.00215213
Baiye4,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02647,0.00189816,-0.021628,0.0328874,-0.0158128,0.0185314,0.0183527
Bei_10_=_North_10,Z. mays,Broad origin-public,Other,This Study,0.02201,0.00932636,-0.0115408,0.00820845,-0.00565758,0.00422983,-0.0106281
C102,Z. mays,Mixed,Other,This Study,0.02148,0.00639942,-0.0150774,0.0104052,-0.00803097,-0.00567071,-0.0325389
C103,Z. mays,NSS,NSS,Qiu et al. 2021,0.0333,0.0120306,-0.0377569,-0.0155751,-0.0263593,-0.0813497,0.0218544
C10_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.1552,-0.00466719,-0.00931584,0.0489473,-0.00890661,0.0422768,0.0258051
C11_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.10363,-0.00191128,-0.00579472,0.0486905,-0.00978011,0.0441009,0.0322402
C123,Z. mays,Mixed,Other,Qiu et al. 2021,0.02949,0.00962196,-0.0273316,-0.00390561,-0.0189265,-0.0449815,0.00490516
C12_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.15668,-0.00324706,-0.0101231,0.0461087,-0.0111529,0.0416148,0.0320556
C13_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.10503,-0.00213408,-0.00575796,0.0487504,-0.00924398,0.043365,0.0307058
C14,Z. mays,Mixed,Other,Wang et al. 2020,0.02763,0.00674429,-0.0174287,-0.00321803,-0.000372711,0.00713753,-0.0127012
C14_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.1832,-0.00313103,-0.00627529,0.0409035,-0.00702381,0.0342072,0.0217465
C15,Z. mays,Sweet corn,Other,This Study,0.02379,-0.00204205,-0.0190673,0.0134885,-0.00622564,-0.00786343,-0.109141
C15_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.1206,-0.00130125,-0.00172203,0.0445117,-0.00802216,0.0353426,0.0317651
C17_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.13231,-0.000937871,-0.00868476,0.0456237,-0.0103342,0.0392849,0.032103
C18_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.12081,-0.00558777,-0.00278263,0.0445865,-0.00411444,0.0361215,0.0260447
C19_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.13052,-0.00162606,-0.00892775,0.0469613,-0.0101482,0.0417315,0.0321323
C1_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.12813,-0.00241629,-0.00591225,0.0476286,-0.00984845,0.0420814,0.0329116
C20_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.12764,-0.00524387,-0.00918261,0.0499743,-0.00956912,0.046353,0.0291824
C21_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.11107,0.00328753,-1.43189e-05,0.0398182,-0.00922532,0.0294608,0.036715
C22_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.1071,-0.000457559,0.00361864,0.0260718,-0.000301121,0.0205324,0.00135601
C23_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.13204,-0.0045593,-0.00763474,0.0487047,-0.00876343,0.0419751,0.0244198
C26_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.08712,-0.00221732,-0.00233395,0.050552,-0.00852977,0.0423416,0.0288961
C27_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.16653,0.00180011,-0.00724344,0.0387243,-0.00938107,0.0310664,0.0351128
C28_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.14841,0.00171043,-0.00382086,0.040811,-0.010427,0.0331366,0.0333354
C29_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.01063,0.00513951,0.0130185,0.0358331,-0.00670614,0.0276151,0.0324882
C30_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.15962,0.00146038,-0.00909682,0.0417938,-0.00987276,0.0362316,0.037146
C31_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.10694,0.00435363,0.004915,0.0404667,-0.00870664,0.0321369,0.036512
C32_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.11484,0.00427821,-0.00142002,0.0386635,-0.00883511,0.0280151,0.0371656
C33_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.19911,0.00273165,-0.00866645,0.0315043,-0.0086538,0.0276006,0.0396915
C34_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.15608,0.00508941,-0.00297645,0.033081,-0.00772415,0.0258861,0.0364209
C35_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.05769,-0.000604425,-0.00532529,0.0495663,-0.0117282,0.0433208,0.033034
C36_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.08132,0.0027105,-0.00398639,0.0387641,-0.0098519,0.0324995,0.0371068
C38_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.09301,-0.00170517,-0.00815714,0.0503491,-0.0121736,0.0453799,0.0329262
C39_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.11932,-0.00414254,-0.00761497,0.0497961,-0.00989579,0.0460294,0.030388
C3_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.12074,0.00124069,-0.00686639,0.0444988,-0.0112139,0.0388352,0.0370912
C40_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.13158,0.00183585,-0.00735233,0.039892,-0.00908146,0.0369107,0.0372615
C42,Z. mays,Sweet corn,Other,This Study,0.02877,-0.00186755,-0.0205642,0.0133811,-0.00752879,-0.00727885,-0.11766
C42_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.11599,0.00381016,-0.008435,0.0307677,-0.00978158,0.023577,0.0195109
C43_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.15178,0.00197419,-0.00787904,0.0402604,-0.0102774,0.0352169,0.0357866
C44_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.11787,0.00473061,-0.00243542,0.0353713,-0.00730698,0.0244102,0.0396409
C45_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.03503,0.00168545,0.0041671,0.0456113,-0.0101177,0.0385765,0.0317505
C46,Z. mays,Mixed,Other,Wang et al. 2020,0.02726,0.00549372,-0.0137394,0.00675478,-0.00359406,0.00621746,-0.0292176
C46_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.09296,0.00281237,-0.00304747,0.0412054,-0.0106514,0.0325278,0.0343607
C47_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.12563,0.00574136,-0.000477795,0.0322304,-0.00735625,0.0248417,0.0388729
C48_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.16984,0.00266821,-0.00472357,0.0377718,-0.00872608,0.0322954,0.033561
C49A,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.01749,0.0123481,0.00738815,0.00261438,0.00144352,0.00634936,-0.00745123
C5_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.1609,-0.00361101,-0.00285902,0.0366282,-0.0026567,0.0234159,0.00516691
C68,Z. mays,Sweet corn,Other,This Study,0.0243,0.00113079,-0.0198432,0.0117942,-0.00845921,-0.00651733,-0.0926957
C6_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.14696,-0.00652836,-0.00896374,0.0446133,-0.00783725,0.0441582,0.026175
C8605_2,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02443,0.0141329,0.00927235,0.00347509,-0.0030977,-0.0196429,-0.0191607
C8_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.106,0.00426524,0.00167438,0.0378414,-0.00717256,0.0299827,0.0353136
C9_Kistler,Z. mays,South America,South America,Kistler et al. 2018,0.14155,-0.00706717,-0.0112792,0.0504515,-0.00884856,0.0459235,0.0312218
CA-4,Z. mays,Sweet corn,Other,Qiu et al. 2021,0.04263,-0.00643892,-0.0189137,0.0166264,-0.00532597,0.00317991,-0.0370149
CG10,Z. mays,Broad origin-public,Other,This Study,0.02093,0.0100294,-0.00984846,0.000293216,2.21941e-05,0.00494529,-0.0164303
CG102,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03335,0.00999976,-0.0327497,-0.00930774,-0.0200265,-0.0463917,0.0212963
CH10,Z. mays,NA,Europe,Unterseer et al. 2014,0.0319,-0.00201799,-0.0171181,0.0180914,-0.0094529,-0.00234104,-0.109106
CH10-4,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.02984,-0.00187278,-0.0168406,0.0369866,-0.0142386,0.0286881,-0.0116017
CH157,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03137,0.0091643,-0.00924809,-0.00332322,-0.00276177,0.000174325,-0.0115297
CH19-1,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.0379,-0.00372221,-0.0196327,0.0153697,-0.00973842,-0.00539208,-0.122511
CH34,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.03557,-0.00375919,-0.0186427,0.013606,-0.00589742,-0.00249345,-0.11571
CH36,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.03097,-0.00314259,-0.0201833,0.0318516,-0.0115534,0.0237925,-0.0421607
CH446A,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.0315,0.000437067,-0.0164652,0.0288206,-0.0105227,0.0214035,-0.0247964
CH701-30,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.0303,0.00999895,-0.011502,-0.00339994,-0.00319547,0.00224961,-0.0104704
CH711-10,Z. mays,Mixed,Other,Qiu et al. 2021,0.02991,0.0124983,-0.0288753,-0.0128566,-0.0162061,-0.0518576,0.0120159
CH753-4,Z. mays,SS,SS,Qiu et al. 2021,0.02398,0.0182663,0.0474491,-0.0028548,0.0112018,-0.00990351,-0.026422
CH9,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.41197,0.00891639,-0.014351,-0.00124786,-0.00282748,-0.00122507,-0.0203502
CI31A,Z. mays,Mixed,Other,Wang et al. 2020,0.01645,0.0123862,0.00481664,0.00269532,-0.000259494,0.0103213,0.0051268
CI66,Z. mays,Mixed,Other,Wang et al. 2020,0.02078,0.0104719,-0.00227557,0.0118246,-0.00521579,0.00733869,0.0101477
CI90C,Z. mays,Mixed,Other,This Study,0.01818,0.011005,6.45064e-05,0.012393,-0.00822408,0.00440618,0.0104244
CI_187-2,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02271,0.015357,-0.00160185,-0.0118972,-0.00653435,-0.0265105,0.0276799
CI_21E,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02168,0.01442,0.0168406,0.00656508,-0.000873976,0.00503999,-0.000281667
CI_28A,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.01979,0.0117063,-0.000793882,0.0103198,-0.00502585,0.00953271,0.0118082
CI_3A,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02059,0.0108649,0.00737877,0.00910978,-0.00121186,-0.0016196,-0.00993737
CI_40H,Z. mays,Broad origin-public,Other,This Study,0.02259,0.0130312,-0.00561351,-0.00421295,0.00170696,0.0072482,-0.00387461
CI_540,Z. mays,SS,SS,This Study,0.01928,0.0121191,0.0114118,0.00900862,0.00137804,0.00422803,-0.00592705
CI_64,Z. mays,Popcorn,Other,Bukowski et al. 2018,0.02333,0.00835112,-0.00302174,0.0143808,-0.00438344,0.0127103,0.00597089
CI_91B,Z. mays,Mixed,Other,This Study,0.02473,0.0164903,0.00306094,-0.0103439,-0.00377068,-0.0181639,0.0258344
CL17,Z. mays,Sweet corn,Other,This Study,0.0237,0.00466709,-0.0145858,0.00642478,-0.00358351,-0.0034434,-0.062672
CL27,Z. mays,Sweet corn,Other,This Study,0.02273,0.00456065,-0.0130238,0.0122651,-0.00517816,0.00341875,-0.0356652
CM105,Z. mays,SS,SS,Qiu et al. 2021,0.02469,0.0176348,0.0371096,-0.00732431,0.0118815,-0.00674751,-0.02291
CM37,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02257,0.00915519,0.0050564,0.0139651,-0.00434405,0.0022848,-0.0178449
CM48,Z. mays,Mixed,Other,This Study,0.02373,0.00517619,-0.0119065,0.00698817,-0.00244584,-0.00143108,-0.0640151
CM7,Z. mays,SS,SS,Bukowski et al. 2018,0.02249,0.00719387,-0.00432103,0.0123257,-0.00569891,0.0028131,-0.0228339
CM99,Z. mays,SS,SS,This Study,0.01995,0.0183215,0.0382696,-0.00297711,0.0113196,-0.00565733,-0.0222049
CML10,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02217,0.00302956,-0.00333545,0.0304767,-0.00689203,0.0277177,0.0403898
CML11,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01936,0.00324338,-0.00353108,0.0303737,-0.00698232,0.027824,0.0406881
CML14,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.023,0.00350594,-0.00494434,0.0305977,-0.00823989,0.0255737,0.0447819
CML157Q,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02232,0.00317248,-0.00599899,0.0325125,-0.00790851,0.0248799,0.0342744
CML158Q,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02954,0.00322757,-0.00927151,0.0322499,-0.0106192,0.0281329,0.0382037
CML238,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01938,0.00555743,-0.00452843,0.0267677,-0.00702293,0.0285896,0.040193
CML258,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01817,0.0051147,-0.0017946,0.032025,-0.00911709,0.0254958,0.0398645
CML261,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02153,0.0053885,-0.00234061,0.0305907,-0.00940385,0.0254713,0.0383369
CML281,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02599,0.00372962,-0.00743747,0.028664,-0.00814032,0.0296478,0.0405263
CML311,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.03001,0.00185818,-0.0131197,0.0327421,-0.0104663,0.0296231,0.0318944
CML314,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02899,0.00355709,-0.00588922,0.0308903,-0.0085058,0.0268382,0.0377286
CML321,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01805,0.0040954,-0.00376591,0.0297829,-0.00876724,0.0252969,0.0357397
CML328,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02257,0.00231472,-0.00929856,0.0298928,-0.00762955,0.0251884,0.029289
CML331,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.0428,0.00146954,-0.0074656,0.0302928,-0.00752876,0.025389,0.0382374
CML332,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01729,0.00448387,-0.00317733,0.032031,-0.00625945,0.027872,0.0398913
CML333,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.0236,0.00574628,-0.00557949,0.0275458,-0.00875167,0.0220961,0.0337839
CML341,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01085,0.00667211,0.0116271,0.0280159,-0.00580208,0.0206064,0.0330607
CML38,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02485,0.00216226,-0.00675228,0.0339078,-0.0102436,0.0287314,0.0367828
CML45,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02818,0.00346511,-0.00393073,0.0332928,-0.00919561,0.0260434,0.0378194
CML5,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02345,0.00307723,-0.00383368,0.0317695,-0.00938417,0.0273288,0.0418651
CML61,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02235,0.00235236,-0.00440282,0.0324865,-0.00727765,0.0277497,0.0357254
CML69,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02534,0.00352054,-0.00668823,0.0308159,-0.0083621,0.0293071,0.0388585
CML77,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02605,0.00373535,-0.00669888,0.0255185,-0.00691471,0.0237387,0.0316365
CML92,Z. mays,Mixed,Other,Bukowski et al. 2018,0.01819,0.00681187,0.00386544,0.0252479,-0.00507836,0.0207297,0.0330357
CML_108,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02131,0.00473414,0.000299164,0.0270385,-0.00796369,0.0184584,0.0228816
CML_154Q,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.01898,0.00588527,-0.00236473,0.0294324,-0.00792767,0.0250388,0.0368039
CML_218,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02115,0.00361081,-0.00565778,0.031232,-0.00961154,0.0277235,0.0348358
CML_220,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02537,0.00505228,-0.0049377,0.029014,-0.00933859,0.026182,0.0364932
CML_228,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02623,0.00492936,-0.00755951,0.0278395,-0.00770517,0.0288178,0.0379445
CML_247,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02333,0.00311078,-0.00873391,0.0317421,-0.00845343,0.0299082,0.0407768
CML_254,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02421,0.00363617,-0.00516536,0.0300182,-0.00951206,0.0280496,0.0411985
CML_264,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.0229,0.00383861,-0.00416621,0.0301639,-0.00959233,0.0283741,0.0395391
CML_277,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02287,0.0036646,-0.00884645,0.031384,-0.00835292,0.0278231,0.0399035
CML_287,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02052,0.00390307,-0.00300374,0.032243,-0.010639,0.0253416,0.0368903
CML_322,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.022,0.00524118,-0.000176613,0.0293419,-0.00651793,0.0227135,0.0291434
CML_323,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02386,0.00392632,-0.00419988,0.0291648,-0.00950266,0.0228314,0.021912
CML_395,Z. mays,Tropical,Tropical,This Study,0.02044,0.00418784,-0.0120685,0.0269275,-0.00666938,0.0273393,0.0270852
CML_52,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.04118,0.00299409,-0.00525028,0.0334565,-0.0092207,0.0289318,0.0352753
CML_91,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02502,0.00567421,-0.00132764,0.0253102,-0.0064177,0.0203347,0.0280851
CMV3,Z. mays,NSS,NSS,Bukowski et al. 2018,0.01788,0.0126144,0.000332749,0.00342199,-0.00115474,0.00575201,-0.00913189
CO106,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02366,0.0107202,-0.00599097,0.000614444,-0.00136864,0.00902739,-0.0128043
CO109,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.02898,0.00713577,-0.0128391,0.00833241,-0.00472311,0.00432465,-0.0241774
CO117,Z. mays,Broad origin-public,Other,This Study,0.02284,0.0102372,-0.00976148,0.00183739,-0.00210945,-0.00040462,-0.020758
CO125,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02229,0.0108576,-0.00446286,0.0016855,0.000259732,0.0097745,-0.00699899
CO158,Z. mays,Broad origin-public,Other,This Study,0.02214,0.0120743,-0.0105374,-0.0011936,-0.00405997,-0.00103327,-0.00597342
CO192,Z. mays,Broad origin-public,Other,This Study,0.02059,0.00735373,-0.00990156,0.00515957,-0.000160349,0.00820582,-0.0326562
CO216,Z. mays,Broad origin-public,Other,This Study,0.02248,0.0100968,-0.0154523,0.00212745,-0.00432862,4.30976e-05,-0.0167821
CO236,Z. mays,Broad origin-public,Other,This Study,0.02323,0.0102094,-0.0129055,0.00320579,-0.00211394,0.00846198,-0.0169114
CO237,Z. mays,Broad origin-public,Other,This Study,0.02333,0.0115367,-0.00841217,-0.00062453,-0.00367519,-0.00441019,-0.0121533
CO245,Z. mays,Sweet corn,Other,This Study,0.02335,0.00561285,-0.0155661,0.016475,-0.00726909,0.00661675,-0.0396047
CO255,Z. mays,Sweet corn,Other,Bukowski et al. 2018,0.0363,0.00120187,-0.0139456,0.020949,-0.00805398,0.0119422,-0.0533556
CO256,Z. mays,SS,SS,This Study,0.22993,0.0168099,0.0335556,-0.00108529,0.0069876,-0.00281409,0.0032773
CO257,Z. mays,SS,SS,Qiu et al. 2021,0.02759,0.0152295,0.0214428,-0.00435676,0.0028493,-0.00869854,-0.00386971
CO258,Z. mays,SS,SS,Qiu et al. 2021,0.02421,0.015277,0.0186575,-0.00667176,0.00485859,-0.000104009,-0.00146185
CQ502,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.03387,0.00871009,-0.0141185,-0.000818336,-0.00665903,-0.00752097,-0.0259713
CQ702RC,Z. mays,NSS,NSS,Qiu et al. 2021,0.0282,0.0182211,-0.0241662,-0.0505862,0.0146732,0.00327855,0.0104462
CQ806,Z. mays,NSS,NSS,This Study,0.0207,0.0154386,-0.0202723,-0.00971283,-0.0137855,-0.0486922,0.00248099
CR14,Z. mays,SS,SS,Qiu et al. 2021,0.01459,0.018433,0.0635464,0.00543181,0.00779365,-0.00988486,-0.00130094
CR1HT,Z. mays,NSS,NSS,Bukowski et al. 2018,0.00789,0.018321,0.00214092,-0.00474952,-0.0119329,-0.0431883,0.0319599
CR_22_INBRED,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03098,0.00791241,-0.0142424,-0.00772104,0.000500337,0.00367815,-0.0258654
CS405,Z. mays,Mixed,Other,Qiu et al. 2021,0.02005,0.0153573,0.0500721,0.00130714,0.00967054,-0.0161826,-0.0184196
CS608,Z. mays,Mixed,Other,This Study,0.02441,0.014421,-0.0251269,-0.0107703,-0.0155223,-0.043447,0.018191
CSJ3,Z. mays,Broad origin-public,Other,This Study,0.02605,0.0110244,-0.0103219,-0.00143728,0.00162415,0.0111685,-0.0147787
CT52C,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02757,0.011123,-0.021121,3.67035e-05,-0.0147132,-0.0307507,0.0221853
CUBA54,Z. mays,Landrace,Other,Brandenburg et al. 2017,0.02883,0.00254143,-0.0103815,0.0305995,-0.00834438,0.0308728,0.0376105
Chang3,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.12964,0.0104302,-0.0146513,0.00559346,-0.0108329,-0.0147328,-0.00830621
Chang72,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02703,-0.00409515,-0.0200613,0.042134,-0.0119089,0.0319436,0.0144457
Cheng18,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02667,0.010099,-0.0222074,0.000602794,-0.0153289,-0.0340824,-0.000237617
Cheng687,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02992,0.0112492,-0.00372778,0.0110926,-0.00473741,0.0010826,0.0383749
Chi-tan_120,Z. mays,Broad origin-public,Other,This Study,0.03961,0.0123407,-0.00731636,-0.000331757,-0.00040354,0.00400011,-0.00670953
