VCFname,Uniform_Name,Species,Subpopulation,Group,Source,CountryOfOrigin,HeteroticGroup,ImprovementEra,Latitude,Longitude,Notes,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,IsBugeater,ShortName
C102,C102,Z.mays,Mixed,Other,This Study,USA,NA,NA,NA,NA,NA,0.02148,0.0115506,-0.00580841,-0.00584984,-0.0176157,-0.00645228,0.000379253,-0.023906,0.0162809,-0.00384394,-0.00533474,yes,Nebraska
C103,C103,Z.mays,NSS,NSS,Qiu et al. 2021,USA,NonStiffStalk,PublicBreeding,NA,NA,NA,0.0333,-0.00819833,0.0551214,-0.0101982,-0.0776969,0.0210673,0.00911085,0.0636511,0.015292,-0.031321,-0.0439463,yes,WiDivCore
C10_Kistler,C10_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.1552,-0.0145978,-0.0208669,-0.0550988,0.034623,0.0107536,0.0140524,0.0190511,-0.0155666,-0.00334713,-0.0176155,no,South
C11_Kistler,C11_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.10363,-0.00734357,-0.0258496,-0.0496229,0.0325346,0.00910827,0.0169074,0.0210396,-0.0134384,-0.00382997,-0.016007,no,South
C123,C123,Z.mays,Mixed,Other,Qiu et al. 2021,USA,NonStiffStalk,PublicBreeding,NA,NA,NA,0.02949,-0.0042272,0.036591,-0.0108556,-0.0433901,0.0153757,0.00291854,0.0237392,0.0111963,-0.0168397,-0.0292881,yes,WiDivCore
C12_Kistler,C12_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.15668,-0.015931,-0.0175683,-0.0538557,0.0341481,0.0118386,0.0164448,0.0208412,-0.0203633,-0.0019706,-0.0196768,no,South
C13_Kistler,C13_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.10503,-0.00890641,-0.0236826,-0.0495141,0.0324495,0.0081122,0.0166717,0.0183068,-0.0179182,-0.00263844,-0.0189138,no,South
C14,C14,Z.mays,Mixed,Other,Wang et al. 2020,USA,NA,PublicBreeding,NA,NA,NA,0.02763,0.00550646,0.00499717,-0.00476114,-0.0131422,-0.0161103,0.00142271,-0.0265829,0.0061319,-0.00213019,-0.0096586,no,CN
C14_Kistler,C14_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.1832,-0.0147972,-0.0166515,-0.0528181,0.0365239,0.0127872,0.0156516,0.020733,-0.00532355,-0.00630662,-0.0147235,no,South
C15,C15,Z.mays,Sweet corn,Other,This Study,USA,Sweetcorn,NA,NA,NA,NA,0.02379,0.00628675,-0.00946337,-0.00120001,-0.0223358,-0.0164751,-0.00871972,-0.058231,0.0713496,-0.027621,-0.0149809,yes,Nebraska
C15_Kistler,C15_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.1206,-0.000880917,-0.0282238,-0.0375715,0.0232586,0.00609284,0.0155127,0.0203417,-0.0132424,0.000669203,-0.00732811,no,South
C17_Kistler,C17_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.13231,-0.00769912,-0.0214448,-0.0469578,0.0275684,0.00797535,0.0148597,0.0174686,-0.0196834,-0.00147045,-0.0146754,no,South
C18_Kistler,C18_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.12081,-0.00848625,-0.0252833,-0.0441528,0.0280959,0.00595837,0.0120901,0.0187364,-0.0102462,-0.00386278,-0.0139696,no,South
C19_Kistler,C19_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.13052,-0.0102623,-0.0200015,-0.0507746,0.0333433,0.0117198,0.0143462,0.0188773,-0.0208154,-0.000750645,-0.0136747,no,South
C1_Kistler,C1_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.12813,-0.0160624,-0.0195703,-0.0609189,0.0423592,0.0169291,0.0199778,0.0258507,-0.0141979,-0.00430879,-0.0193153,no,South
C20_Kistler,C20_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.12764,-0.0197307,-0.0185424,-0.0615594,0.0427116,0.0141422,0.0163201,0.023374,-0.0161368,-0.00482706,-0.0227782,no,South
C21_Kistler,C21_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.11107,0.00146411,-0.0251748,-0.0389003,0.0223783,0.00910365,0.0176809,0.0222265,-0.014813,0.0030065,-0.000494653,no,South
C22_Kistler,C22_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.1071,0.0013095,-0.0242585,-0.0258618,0.0193999,0.00230972,0.00951706,0.00902691,0.0189274,-0.00922912,0.000401639,no,South
C23_Kistler,C23_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.13204,-0.0154187,-0.0202724,-0.0561997,0.0376306,0.0118761,0.0157311,0.0207277,-0.013437,-0.00414941,-0.0203974,no,South
C26_Kistler,C26_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.08712,-0.00177005,-0.0309486,-0.0426244,0.0267712,0.00491442,0.0156485,0.0189415,-0.0106503,-0.0040492,-0.0161124,no,South
C27_Kistler,C27_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.16653,-0.00680063,-0.0157118,-0.0458194,0.0284954,0.0131186,0.014968,0.0218076,-0.020969,0.00311807,-0.00518542,no,South
C28_Kistler,C28_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.14841,-0.00741758,-0.0193732,-0.0459759,0.0289835,0.0133959,0.0175473,0.0211607,-0.0186327,0.00327481,-0.00564101,no,South
C29_Kistler,C29_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.01063,0.00747472,-0.0312953,-0.0325681,0.0254023,0.0115636,0.0190634,0.0263423,-0.00100678,0.000280654,0.00227028,no,South
C30_Kistler,C30_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.15962,-0.00445479,-0.0185545,-0.0440667,0.0220797,0.00686319,0.014148,0.0165162,-0.0285648,0.0035839,-0.00843298,no,South
C31_Kistler,C31_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.10694,0.00510744,-0.0300553,-0.0366869,0.024201,0.00810634,0.0200683,0.0244344,-0.00880009,0.000566501,3.60292e-05,no,South
C32_Kistler,C32_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.11484,0.00473186,-0.026072,-0.0351159,0.019056,0.00731652,0.0167379,0.0218013,-0.0157121,0.00442993,0.00158755,no,South
C33_Kistler,C33_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.19911,-0.0135397,-0.00476669,-0.0524006,0.0337856,0.0184479,0.0159979,0.0251269,-0.0283583,0.00943966,0.00166077,no,South
C34_Kistler,C34_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.15608,0.00300702,-0.0210673,-0.0333817,0.018404,0.00613417,0.0141125,0.017693,-0.019702,0.00502681,0.000868468,no,South
C35_Kistler,C35_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.05769,-0.00332286,-0.027778,-0.0459806,0.0285997,0.00642129,0.0186956,0.019367,-0.0150768,-0.00268071,-0.014919,no,South
C36_Kistler,C36_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.08132,-0.00101122,-0.0242058,-0.0385683,0.0250347,0.00947908,0.0176152,0.0228307,-0.0183783,0.00395137,-0.00380723,no,South
C38_Kistler,C38_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.09301,-0.00738317,-0.0244889,-0.0504214,0.0308181,0.00839112,0.0177928,0.0200745,-0.0168815,-0.00377559,-0.0172321,no,South
C39_Kistler,C39_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.11932,-0.0162352,-0.0210778,-0.0605585,0.0416467,0.0144621,0.0186056,0.0234065,-0.0136327,-0.00488234,-0.0209742,no,South
C3_Kistler,C3_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.12074,-0.00409365,-0.0221997,-0.0454448,0.0263813,0.00760735,0.0170372,0.02046,-0.0209321,0.00183953,-0.00959983,no,South
C40_Kistler,C40_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.13158,-0.0045633,-0.020819,-0.04675,0.02884,0.00899507,0.0187958,0.0223504,-0.0203033,0.00297135,-0.00468252,no,South
C42,C42,Z.mays,Sweet corn,Other,This Study,USA,Sweetcorn,NA,NA,NA,NA,0.02877,0.00540903,-0.0095895,-0.00194091,-0.0236791,-0.0173792,-0.00943888,-0.0627512,0.0786124,-0.0290312,-0.0157696,yes,Nebraska
C42_Kistler,C42_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.11599,-0.00964827,-0.00786255,-0.0491361,0.0301016,0.0194107,0.0172096,0.0178206,-0.00266007,0.00138298,0.00137462,no,South
C43_Kistler,C43_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.15178,-0.00590702,-0.0178312,-0.0461619,0.0260428,0.00994638,0.0162569,0.0182825,-0.023865,0.00414859,-0.00854565,no,South
C44_Kistler,C44_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.11787,0.00600874,-0.0261105,-0.0319351,0.0156388,0.00546418,0.0163709,0.0212565,-0.0159298,0.00472136,0.00248746,no,South
C45_Kistler,C45_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.03503,0.00191479,-0.0314427,-0.0409346,0.0284739,0.0101817,0.0216695,0.0236473,-0.00507922,-0.0026786,-0.00788238,no,South
C46,C46,Z.mays,Mixed,Other,Wang et al. 2020,USA,NA,PublicBreeding,NA,NA,NA,0.02726,0.00612588,0.00458334,-0.00457512,-0.0120954,-0.0118227,-0.00144682,-0.0321291,0.0064129,-0.0019426,-0.00755007,no,CN
C46_Kistler,C46_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.09296,0.000951989,-0.0261817,-0.0399582,0.0226526,0.00651854,0.0193381,0.0199294,-0.0139411,0.00202528,-0.00432908,no,South
C47_Kistler,C47_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.12563,0.00604855,-0.0246872,-0.0321848,0.0174634,0.00706329,0.0151401,0.0209539,-0.0162278,0.00466185,0.00276176,no,South
C48_Kistler,C48_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.16984,-0.00138151,-0.0206449,-0.0388883,0.0247309,0.00855398,0.0150156,0.0227063,-0.0173746,0.00289864,-0.00157771,no,South
C49A,C49A,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,USA,NonStiffStalk,NA,NA,NA,NA,0.01749,0.0129893,-0.0103579,-0.0130652,0.0157377,0.0080589,0.0133114,0.00386664,0.0326671,-0.00246052,0.0163205,yes,GB
C5_Kistler,C5_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.1609,-0.00227968,-0.0243655,-0.0322218,0.0188379,0.00372806,0.00708044,0.0111483,0.0104341,-0.00862059,-0.00625851,no,South
C68,C68,Z.mays,Sweet corn,Other,This Study,USA,Sweetcorn,NA,NA,NA,NA,0.0243,0.00601181,-0.00585382,-0.00337767,-0.0227671,-0.0150729,-0.00761302,-0.0572117,0.0589049,-0.0203559,-0.0128015,yes,Nebraska
C6_Kistler,C6_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.14696,-0.0219181,-0.016682,-0.0568139,0.0412601,0.0139535,0.0172142,0.0218939,-0.00945917,-0.00456768,-0.0215828,no,South
C8605_2,C86052,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02443,0.019732,-0.00316925,0.0109137,-0.0188673,0.00689449,-0.00962271,-0.0265609,-0.0170295,0.0185353,0.0166047,no,CN
C8_Kistler,C8_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.106,0.00405267,-0.0268646,-0.0360426,0.0242022,0.0085617,0.0161499,0.0213925,-0.0121105,0.00143452,-0.00110792,no,South
C9_Kistler,C9_Kistler,Z.mays,South America,South America,Kistler et al. 2018,NA,NA,NA,NA,NA,NA,0.14155,-0.0162314,-0.020287,-0.0521104,0.0331676,0.00888834,0.0106363,0.0179225,-0.0209051,-0.00545251,-0.0241232,no,South
CA-4,CA4,Z.mays,Sweet corn,Other,Qiu et al. 2021,NA,Sweetcorn,NA,NA,NA,NA,0.04263,-0.0201459,0.0146661,-0.017739,-0.00113789,0.00182256,-0.0191789,-0.0299135,0.0244716,-0.0161799,-0.0119002,yes,WiDivCore
CG10,CG10,Z.mays,Broad origin-public,Other,This Study,Canada,NA,NA,NA,NA,NA,0.02093,0.0135758,-0.00364724,-0.00291284,-0.00599805,-0.00890816,0.00219182,-0.0240426,0.00899978,0.00254591,0.00400158,yes,Nebraska
CG102,CG102,Z.mays,Broad origin-public,Other,Qiu et al. 2021,Canada,NA,NA,NA,NA,NA,0.03335,-0.00938343,0.0461377,-0.0169458,-0.0451896,0.0208045,0.00937909,0.0446163,0.0168485,-0.0135934,-0.00228089,no,WiDivCore
CH10,CH10,Z.mays,NA,Europe,Unterseer et al. 2014,Italy,SouthernEuropean,Landrace,45.8,9.67,NA,0.0319,0.00657823,-0.0174036,-0.00299874,-0.0192971,-0.01815,-0.00399991,-0.0595276,0.0830462,-0.034976,-0.0247913,no,ge
CH10-4,CH104,Z.mays,Landrace,Other,Brandenburg et al. 2017,Italy,SouthernEuropean,Landrace,45.8,9.67,NA,0.02984,-0.0127295,-0.0126005,-0.0494287,0.0208113,0.00753744,0.013292,-0.0172551,0.019791,-0.0164334,-0.0306319,no,EU
CH157,CH157,Z.mays,Broad origin-public,Other,Qiu et al. 2021,Canada,NA,NA,NA,NA,NA,0.03137,-0.00613363,0.0328276,-0.00643958,0.00862429,0.0161371,-0.0116332,-0.0203467,0.00012502,0.00595513,0.0126372,yes,WiDivCore
CH19-1,CH191,Z.mays,Landrace,Other,Brandenburg et al. 2017,Switzerland,Flint,Landrace,47.22,7.45,NA,0.0379,-0.0111361,0.000387498,-0.0245793,0.00362647,0.00509555,-0.00561026,-0.0644507,0.126563,-0.0481741,-0.0214021,no,EU
CH34,CH34,Z.mays,Landrace,Other,Brandenburg et al. 2017,Switzerland,Flint,Landrace,47.25,9.98,NA,0.03557,-0.0103447,-0.000851101,-0.0223155,0.00279726,0.00203902,-0.00422471,-0.0619061,0.117162,-0.0451567,-0.0227066,no,EU
CH36,CH36,Z.mays,Landrace,Other,Brandenburg et al. 2017,France,Flint,Landrace,43.71,-0.84,NA,0.03097,-0.0153838,-0.00767029,-0.0483069,0.0218669,0.0091415,0.0106079,-0.0252986,0.0541332,-0.0256648,-0.0233011,no,EU
CH446A,CH446A,Z.mays,Landrace,Other,Brandenburg et al. 2017,Switzerland,SouthernEuropean,Landrace,46.5,8.95,NA,0.0315,-0.00749585,-0.0114127,-0.0393068,0.0145089,0.00515095,0.00965773,-0.0220753,0.0322806,-0.0179341,-0.0235415,no,EU
CH701-30,CH70130,Z.mays,Broad origin-public,Other,Qiu et al. 2021,Canada,NonStiffStalk,PublicBreeding,NA,NA,NA,0.0303,-0.00372065,0.0326214,-0.00655905,0.00346597,0.0118454,-0.00928323,-0.028393,0.00186984,0.00797205,0.014352,yes,WiDivCore
CH711-10,CH71110,Z.mays,Mixed,Other,Qiu et al. 2021,Canada,NA,NA,NA,NA,NA,0.02991,-0.00312594,0.0442872,-0.00732061,-0.0424927,0.0169614,0.00287149,0.0311539,0.00669573,-0.0146106,-0.0178548,yes,WiDivCore
CH753-4,CH7534,Z.mays,SS,SS,Qiu et al. 2021,Canada,NA,NA,NA,NA,NA,0.02398,0.0225789,0.0106983,0.0392812,0.0352737,0.062507,-0.0515347,-0.014348,-0.0134997,-0.0210113,-0.0584083,yes,WiDivCore
CH9,CH9,Z.mays,Broad origin-public,Other,Qiu et al. 2021,Canada,NonStiffStalk,PublicBreeding,NA,NA,NA,0.41197,-0.00129695,0.0307701,-0.012143,-0.00198066,0.0093552,-0.00849935,-0.0270385,0.0071534,0.00424836,0.0134708,yes,WiDivCore
CI31A,CI31A,Z.mays,Mixed,Other,Wang et al. 2020,USA,NA,PublicBreeding,NA,NA,NA,0.01645,0.00986328,-0.00927416,-0.0187628,0.0192601,0.0112697,0.0166729,0.0125931,0.0247593,-0.00105366,0.0170483,no,CN
CI66,CI66,Z.mays,Mixed,Other,Wang et al. 2020,USA,NA,PublicBreeding,NA,NA,NA,0.02078,0.0064548,-0.010123,-0.024971,0.0180165,0.0106575,0.0158015,0.0103573,0.0110539,0.00307481,0.0160195,no,CN
CI90C,CI90C,Z.mays,Mixed,Other,This Study,USA,NA,NA,NA,NA,NA,0.01818,0.00401076,-0.00710519,-0.0291267,0.0173799,0.0189016,0.0177139,0.0112194,0.0145085,0.00873638,0.0288066,yes,Nebraska
CI_187-2,CI1872,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.02271,0.00575531,0.0154732,-0.0184457,-0.00213917,0.0208353,0.0276032,0.0602,0.0415927,-0.0194096,-0.00399127,yes,GB
CI_21E,CI21E,Z.mays,Mixed,Other,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.02168,0.0113971,-0.0075068,-0.0164991,0.025743,0.0204211,0.0131674,0.00626156,0.0197489,0.0060786,0.0252542,yes,GB
CI_28A,CI28A,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.01979,0.00481682,-0.00402866,-0.0279097,0.0232777,0.0178526,0.0185673,0.0147882,0.015851,0.00363212,0.0191435,yes,GB
CI_3A,CI3A,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.02059,0.0109743,-0.00824824,-0.0156305,0.0180361,0.0193411,0.00714617,0.00360325,0.0195091,0.00346669,0.0203645,yes,GB
CI_40H,CI40H,Z.mays,Broad origin-public,Other,This Study,NA,NA,NA,NA,NA,NA,0.02259,0.0189603,-0.00613337,0.00296571,-0.0123701,-0.0133694,0.00554633,-0.0244714,-0.000619284,0.00735158,0.00137099,yes,Nebraska
CI_540,CI540,Z.mays,SS,SS,This Study,NA,NA,NA,NA,NA,NA,0.01928,0.0225395,-0.0127366,0.00868284,-0.00161827,0.00710692,-0.00617907,-0.0159071,-0.00390945,0.00160628,-0.00705607,yes,Nebraska
CI_64,CI64,Z.mays,Popcorn,Other,Bukowski et al. 2018,USA,Popcorn,NA,NA,NA,NA,0.02333,0.00091107,-0.00430114,-0.0330368,0.0269646,0.0156422,0.0178919,0.0148233,0.0189296,-0.00112475,0.0132511,yes,GB
CI_91B,CI91B,Z.mays,Mixed,Other,This Study,USA,NA,NA,NA,NA,NA,0.02473,0.0130222,0.00298014,-0.0121386,0.000149752,0.014477,0.0240778,0.0473397,0.0335497,-0.0127473,0.00503282,yes,Nebraska
CL17,CL17,Z.mays,Sweet corn,Other,This Study,Canada,Sweetcorn,NA,NA,NA,NA,0.0237,0.0074988,-0.00187279,-0.00303074,-0.0129095,-0.00799997,-0.00699227,-0.0426442,0.0353594,-0.0102696,-0.00681318,yes,Nebraska
CL27,CL27,Z.mays,Sweet corn,Other,This Study,Canada,Sweetcorn,NA,NA,NA,NA,0.02273,0.0113893,-0.0115107,-0.00488035,-0.0179297,-0.0145597,4.73936e-05,-0.0336946,0.0195956,-0.00517916,-0.00651806,yes,Nebraska
CM105,CM105,Z.mays,SS,SS,Qiu et al. 2021,Canada,StiffStalk,PublicBreeding,NA,NA,NA,0.02469,0.0179732,0.0182598,0.0374924,0.039015,0.0647846,-0.0538369,-0.0132114,-0.0182285,-0.0213652,-0.0603231,yes,WiDivCore
CM37,CM37,Z.mays,Broad origin-public,Other,Bukowski et al. 2018,Canada,NonStiffStalk,PublicBreeding,NA,NA,NA,0.02257,0.00974667,-0.0126663,-0.0194674,0.0143842,0.015024,0.0115441,0.000670432,0.0364777,-0.00303383,0.0178598,yes,GB
CM48,CM48,Z.mays,Mixed,Other,This Study,NA,NA,NA,NA,NA,NA,0.02373,0.0110853,-0.0059636,-0.000579014,-0.0139345,-0.0105167,-0.00667885,-0.0458988,0.0335943,-0.0101038,-0.0119913,yes,Nebraska
CM7,CM7,Z.mays,SS,SS,Bukowski et al. 2018,Canada,NonStiffStalk,PublicBreeding,NA,NA,NA,0.02249,-0.00228157,0.00183783,-0.0284631,0.0206287,0.0219024,0.00962203,-0.00315775,0.0385917,-0.00244449,0.0165681,yes,GB
CM99,CM99,Z.mays,SS,SS,This Study,Canada,NA,NA,NA,NA,NA,0.01995,0.0315398,-0.0129876,0.0314162,0.0129261,0.030874,-0.0288593,-0.0166561,-0.0116108,-0.0128571,-0.0450301,yes,Nebraska
CML10,CML10,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02217,-0.00404402,-0.0159399,-0.0428913,0.0301523,0.0137929,0.0201642,0.0287484,-0.0161893,0.00907847,0.0109814,no,GB
CML11,CML11,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01936,-0.00432852,-0.0147832,-0.0411481,0.0303161,0.0135868,0.0178364,0.0299646,-0.0173693,0.00966242,0.0116524,no,GB
CML14,CML14,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.023,-0.0102067,-0.00965758,-0.0489037,0.0336402,0.0198698,0.0194817,0.0326612,-0.0224533,0.00971449,0.00818492,no,GB
CML157Q,CML157Q,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02232,-0.00886708,-0.0118478,-0.0472541,0.0326518,0.0195995,0.0198207,0.0271757,-0.0143251,0.00765125,0.00848748,no,GB
CML158Q,CML158Q,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02954,-0.0120522,-0.00681509,-0.0507964,0.0321657,0.0198429,0.0184639,0.025556,-0.023113,0.0106589,0.00894614,no,GB
CML238,CML238,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01938,-0.00559096,-0.0137844,-0.0445623,0.0323696,0.0158003,0.0223174,0.0288839,-0.0150544,0.00900634,0.00926625,no,GB
CML258,CML258,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01817,0.0041117,-0.0224685,-0.0329341,0.01964,0.00864477,0.0172575,0.0249024,-0.014265,0.00706247,0.00895431,no,GB
CML261,CML261,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02153,0.00149253,-0.0191907,-0.0340752,0.0224705,0.0108988,0.0168071,0.0244055,-0.0166697,0.0090099,0.00966601,no,GB
CML281,CML281,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02599,-0.00967883,-0.00839693,-0.0475611,0.0342653,0.0162955,0.0187433,0.0282107,-0.0216672,0.0108611,0.00792952,no,GB
CML311,CML311,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.03001,-0.017215,-0.00176285,-0.0582002,0.0415456,0.0260864,0.0183089,0.0258162,-0.0180737,0.00811766,0.00349912,no,GB
CML314,CML314,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02899,-0.0110405,-0.0079931,-0.0499685,0.0346075,0.0213537,0.0187815,0.0290319,-0.0225965,0.011322,0.00711624,no,GB
CML321,CML321,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01805,-0.00596639,-0.0154093,-0.042991,0.0298394,0.015185,0.0209846,0.0285855,-0.0134153,0.00778311,0.00898434,no,GB
CML328,CML328,Z.mays,Mixed,Other,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02257,-0.00706542,-0.00986412,-0.0404577,0.0245008,0.0156065,0.0146756,0.0219871,-0.0160489,0.0061653,0.00470787,no,GB
CML331,CML331,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.0428,-0.0171443,-0.00338021,-0.0551845,0.0408835,0.0254622,0.018396,0.0328759,-0.0247381,0.00975662,0.00672897,no,GB
CML332,CML332,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01729,0.0036075,-0.0227603,-0.0352226,0.0231085,0.00908199,0.0175075,0.0240663,-0.0189198,0.00677556,0.0100949,no,GB
CML333,CML333,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.0236,0.00404392,-0.0172177,-0.0301989,0.014746,0.00567711,0.0139797,0.0164071,-0.0192462,0.00741446,0.00310772,no,GB
CML341,CML341,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.01085,0.00975635,-0.0282589,-0.0251537,0.0176357,0.0086215,0.0181183,0.0254338,-0.00399872,0.00747217,0.0145962,no,GB
CML38,CML38,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02485,-0.0125487,-0.00847104,-0.0515094,0.0376365,0.021877,0.0199908,0.0308302,-0.0201389,0.0106621,0.0084757,no,GB
CML45,CML45,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02818,-0.00547994,-0.0170371,-0.0473894,0.0314338,0.0173304,0.0212917,0.0275541,-0.0153132,0.00773713,0.0102718,no,GB
CML5,CML5,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02345,-0.0102614,-0.0100301,-0.04855,0.0339471,0.0188452,0.0218575,0.0315095,-0.0179748,0.00961875,0.00985799,no,GB
CML61,CML61,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02235,-0.00906858,-0.0121425,-0.0469986,0.0314256,0.0178043,0.0175801,0.0261859,-0.0199283,0.00834616,0.00780814,no,GB
CML69,CML69,Z.mays,Tropical,Tropical,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02534,-0.00437739,-0.0131009,-0.0413077,0.0259612,0.0106722,0.0167088,0.0239409,-0.0244788,0.00942855,0.0061273,no,GB
CML77,CML77,Z.mays,Mixed,Other,Bukowski et al. 2018,Mexico,NA,NA,NA,NA,NA,0.02605,-0.0120289,-0.00378552,-0.0458806,0.0341648,0.0214716,0.0170674,0.0271013,-0.0125076,0.00696801,0.00693004,no,GB
